"id","temp","bar","hum","sol","w.d","w.s","dt"
"1",6.34,990.76,90.0608,2.35625,15.39209,1.92,"2008-01-01 00:00"
"2",6.27,990.65,89.6,2.335,9.1277,1.57333,"2008-01-01 00:10"
"3",6.23,990.65,88.832,2.3175,361.13309,1.6,"2008-01-01 00:20"
"4",6.22,990.55,88.576,2.34625,19.04676,1.6,"2008-01-01 00:30"
"5",6.25,990.45,88.1152,2.37375,9.42086,1.53333,"2008-01-01 00:40"
"6",6.32,990.39,88.1152,2.29625,11.70863,1.34667,"2008-01-01 00:50"
"7",6.35,990.29,87.7056,2.31625,38.84532,1.84,"2008-01-01 01:00"
"8",6.46,990.32,86.4256,2.35875,30.54316,1.90667,"2008-01-01 01:10"
"9",6.56,990.32,85.3504,2.31375,24.90288,1.66667,"2008-01-01 01:20"
"10",6.6,990.19,85.4016,2.31,20.32734,1.06667,"2008-01-01 01:30"
"11",6.62,990.09,85.248,2.34875,60.81655,1.53333,"2008-01-01 01:40"
"12",6.65,990.06,85.0432,2.4,313.82374,1.49333,"2008-01-01 01:50"
"13",6.67,990.05,84.8896,2.355,45.14748,1.52,"2008-01-01 02:00"
"14",6.73,990.09,85.0432,2.2925,13.42086,1.42667,"2008-01-01 02:10"
"15",6.8,990.09,84.5312,2.33625,43.79496,2.32,"2008-01-01 02:20"
"16",6.85,990.09,84.0192,2.3775,19.03237,2.4,"2008-01-01 02:30"
"17",6.82,989.99,84.5312,2.35875,40.54317,2.29333,"2008-01-01 02:40"
"18",6.82,989.96,85.0944,2.32625,34.26978,1.90667,"2008-01-01 02:50"
"19",6.8,989.89,85.5552,2.31125,11.86691,1.94667,"2008-01-01 03:00"
"20",6.78,989.76,86.016,2.34,28.2554,1.26667,"2008-01-01 03:10"
"21",6.8,989.72,86.3744,2.335,16.91727,1.01333,"2008-01-01 03:20"
"22",6.81,989.62,86.6304,2.31,8.92986,1.58667,"2008-01-01 03:30"
"23",6.86,989.39,86.528,2.31625,17.95324,1.8,"2008-01-01 03:40"
"24",6.96,989.22,85.9136,2.3125,6.03237,2.61333,"2008-01-01 03:50"
"25",7.04,989.09,85.6576,2.33,28.34173,2,"2008-01-01 04:00"
"26",7.06,988.92,85.5552,2.35375,343.86691,1.45333,"2008-01-01 04:10"
"27",7.01,988.82,85.8624,2.28625,20.3705,0.97333,"2008-01-01 04:20"
"28",7.08,988.72,85.7088,2.30875,31.42086,1.18667,"2008-01-01 04:30"
"29",7.09,988.52,85.7088,2.33125,27.69424,1.16,"2008-01-01 04:40"
"30",7.1,988.46,85.7088,2.3425,54.42806,0.93333,"2008-01-01 04:50"
"31",7.12,988.36,85.9136,2.34,41.17626,1,"2008-01-01 05:00"
"32",7.17,988.22,86.2208,2.32375,7.1259,1.14667,"2008-01-01 05:10"
"33",7.21,988.19,86.016,2.395,340.64389,1.18667,"2008-01-01 05:20"
"34",7.27,988.12,85.76,2.37625,347.89568,1.04,"2008-01-01 05:30"
"35",7.37,988.12,85.4016,2.2925,350.77338,1.01333,"2008-01-01 05:40"
"36",7.37,988.12,85.7088,2.30625,13.70863,0.85333,"2008-01-01 05:50"
"37",7.39,988.12,85.8624,2.36375,342.60072,0.88,"2008-01-01 06:00"
"38",7.47,988.06,85.2992,2.415,346.28417,1.10667,"2008-01-01 06:10"
"39",7.55,988.06,84.8896,2.2975,341.10432,1.30667,"2008-01-01 06:20"
"40",7.62,987.99,84.6848,2.31625,26.67266,1.34667,"2008-01-01 06:30"
"41",7.64,987.89,84.6336,2.30125,3.31655,1.66667,"2008-01-01 06:40"
"42",7.63,987.86,84.6336,2.30875,9.29137,1.56,"2008-01-01 06:50"
"43",7.63,987.86,84.8896,2.27,25.6223,1.6,"2008-01-01 07:00"
"44",7.62,987.86,85.1456,2.31375,26.93165,1.53333,"2008-01-01 07:10"
"45",7.61,987.83,85.3504,2.34125,35.57914,1.53333,"2008-01-01 07:20"
"46",7.59,987.76,85.504,3.4475,347.66547,1.24,"2008-01-01 07:30"
"47",7.55,987.76,85.6064,5.36,355.26259,0.66667,"2008-01-01 07:40"
"48",7.53,987.73,85.6576,9.8,7.09532,0.92,"2008-01-01 07:50"
"49",7.5,987.83,86.0672,16.27,6.94604,0.77333,"2008-01-01 08:00"
"50",7.51,987.83,86.2208,27.25,18.48561,1.02667,"2008-01-01 08:10"
"51",7.52,987.83,86.2208,40.64,18.35611,0.92,"2008-01-01 08:20"
"52",7.59,987.89,86.3232,53.84,6.98381,1.38667,"2008-01-01 08:30"
